skill1,skill2,value,type
Requirements Analysis,Microsoft SQL Server,104,h-h
SQL,Requirements Analysis,172,h-h
VMware,Requirements Analysis,4,h-h
Unix,Requirements Analysis,40,h-h
Requirements Analysis,Databases,94,h-h
Servers,Requirements Analysis,4,h-h
Virtualization,Requirements Analysis,20,h-h
Windows Server,Requirements Analysis,4,h-h
Solution Architecture,Requirements Analysis,50,h-h
Software Development,Linux,434,h-h
Software Development,Microsoft SQL Server,274,h-h
Software Development,SQL,446,h-h
VMware,Software Development,46,h-h
Unix,Software Development,116,h-h
Software Development,Databases,162,h-h
Software Development,Servers,44,h-h
Virtualization,Software Development,66,h-h
Windows Server,Software Development,66,h-h
Solution Architecture,Software Development,52,h-h
Microsoft SQL Server,Linux,182,h-h
SQL,Linux,344,h-h
VMware,Linux,88,h-h
Unix,Linux,150,h-h
Linux,Databases,88,h-h
Servers,Linux,98,h-h
Virtualization,Linux,102,h-h
Windows Server,Linux,112,h-h
Solution Architecture,Linux,22,h-h
SQL,Microsoft SQL Server,318,h-h
VMware,Microsoft SQL Server,26,h-h
Unix,Microsoft SQL Server,46,h-h
Microsoft SQL Server,Databases,184,h-h
Servers,Microsoft SQL Server,36,h-h
Virtualization,Microsoft SQL Server,36,h-h
Windows Server,Microsoft SQL Server,54,h-h
Solution Architecture,Microsoft SQL Server,34,h-h
VMware,SQL,56,h-h
Unix,SQL,122,h-h
SQL,Databases,200,h-h
Servers,SQL,64,h-h
Virtualization,SQL,56,h-h
Windows Server,SQL,82,h-h
Solution Architecture,SQL,36,h-h
VMware,Unix,48,h-h
VMware,Databases,6,h-h
VMware,Servers,92,h-h
Virtualization,VMware,92,h-h
Windows Server,VMware,90,h-h
VMware,Solution Architecture,6,h-h
Unix,Databases,34,h-h
Unix,Servers,52,h-h
Virtualization,Unix,60,h-h
Windows Server,Unix,52,h-h
Unix,Solution Architecture,20,h-h
Servers,Databases,6,h-h
Virtualization,Databases,12,h-h
Windows Server,Databases,20,h-h
Solution Architecture,Databases,36,h-h
Virtualization,Servers,104,h-h
Windows Server,Servers,132,h-h
Solution Architecture,Servers,4,h-h
Windows Server,Virtualization,102,h-h
Virtualization,Solution Architecture,32,h-h
Windows Server,Solution Architecture,4,h-h
Sales,Investments,24,h-h
Sales,Negotiation,374,h-h
Selling,Sales,100,h-h
Sales,Investment Properties,8,h-h
Sales,Property,6,h-h
Sales,Real Estate,10,h-h
Sales,Real Estate Transactions,8,h-h
Sales,Residential Homes,8,h-h
Sales,Buyer Representation,6,h-l
Sales,Condos,8,h-h
Sales,Foreclosures,10,h-h
Sales,Listings,8,h-h
Sales,Luxury,6,h-l
Sales,New Home Sales,8,h-h
Sales,Referrals,8,h-h
Sales,Relocation,8,h-h
Sales,REO,6,h-l
Short Sales,Sales,10,h-h
Single Family Homes,Sales,6,l-h
Negotiation,Investments,6,h-h
Selling,Investments,6,h-h
Investments,Investment Properties,8,h-h
Property,Investments,6,h-h
Real Estate,Investments,8,h-h
Real Estate Transactions,Investments,8,h-h
Residential Homes,Investments,6,h-h
Investments,Buyer Representation,6,h-l
Investments,Condos,6,h-h
Investments,Foreclosures,6,h-h
Listings,Investments,6,h-h
Luxury,Investments,6,l-h
New Home Sales,Investments,6,h-h
Referrals,Investments,6,h-h
Relocation,Investments,6,h-h
REO,Investments,6,l-h
Short Sales,Investments,6,h-h
Single Family Homes,Investments,6,l-h
Selling,Negotiation,90,h-h
Negotiation,Investment Properties,10,h-h
Property,Negotiation,8,h-h
Real Estate,Negotiation,12,h-h
Real Estate Transactions,Negotiation,8,h-h
Residential Homes,Negotiation,8,h-h
Negotiation,Buyer Representation,6,h-l
Negotiation,Condos,8,h-h
Negotiation,Foreclosures,10,h-h
Negotiation,Listings,8,h-h
Negotiation,Luxury,6,h-l
New Home Sales,Negotiation,8,h-h
Referrals,Negotiation,8,h-h
Relocation,Negotiation,8,h-h
REO,Negotiation,6,l-h
Short Sales,Negotiation,10,h-h
Single Family Homes,Negotiation,6,l-h
Selling,Investment Properties,8,h-h
Selling,Property,6,h-h
Selling,Real Estate,10,h-h
Selling,Real Estate Transactions,8,h-h
Selling,Residential Homes,8,h-h
Selling,Buyer Representation,6,h-l
Selling,Condos,8,h-h
Selling,Foreclosures,10,h-h
Selling,Listings,8,h-h
Selling,Luxury,6,h-l
Selling,New Home Sales,8,h-h
Selling,Referrals,8,h-h
Selling,Relocation,8,h-h
Selling,REO,6,h-l
Short Sales,Selling,10,h-h
Single Family Homes,Selling,6,l-h
Property,Investment Properties,24,h-h
Real Estate,Investment Properties,28,h-h
Real Estate Transactions,Investment Properties,26,h-h
Residential Homes,Investment Properties,24,h-h
Investment Properties,Buyer Representation,6,h-l
Investment Properties,Condos,8,h-h
Investment Properties,Foreclosures,8,h-h
Listings,Investment Properties,8,h-h
Luxury,Investment Properties,6,l-h
New Home Sales,Investment Properties,8,h-h
Referrals,Investment Properties,8,h-h
Relocation,Investment Properties,8,h-h
REO,Investment Properties,6,l-h
Short Sales,Investment Properties,8,h-h
Single Family Homes,Investment Properties,6,l-h
Real Estate,Property,24,h-h
Real Estate Transactions,Property,22,h-h
Residential Homes,Property,22,h-h
Property,Buyer Representation,6,h-l
Property,Condos,6,h-h
Property,Foreclosures,6,h-h
Property,Listings,6,h-h
Property,Luxury,6,h-l
Property,New Home Sales,6,h-h
Referrals,Property,6,h-h
Relocation,Property,6,h-h
REO,Property,6,l-h
Short Sales,Property,6,h-h
Single Family Homes,Property,6,l-h
Real Estate Transactions,Real Estate,26,h-h
Residential Homes,Real Estate,24,h-h
Real Estate,Buyer Representation,6,h-l
Real Estate,Condos,8,h-h
Real Estate,Foreclosures,10,h-h
Real Estate,Listings,8,h-h
Real Estate,Luxury,6,h-l
Real Estate,New Home Sales,8,h-h
Referrals,Real Estate,8,h-h
Relocation,Real Estate,8,h-h
Real Estate,REO,6,h-l
Short Sales,Real Estate,10,h-h
Single Family Homes,Real Estate,6,l-h
Residential Homes,Real Estate Transactions,24,h-h
Real Estate Transactions,Buyer Representation,6,h-l
Real Estate Transactions,Condos,8,h-h
Real Estate Transactions,Foreclosures,8,h-h
Real Estate Transactions,Listings,8,h-h
Real Estate Transactions,Luxury,6,h-l
Real Estate Transactions,New Home Sales,8,h-h
Referrals,Real Estate Transactions,8,h-h
Relocation,Real Estate Transactions,8,h-h
Real Estate Transactions,REO,6,h-l
Short Sales,Real Estate Transactions,8,h-h
Single Family Homes,Real Estate Transactions,6,l-h
Residential Homes,Buyer Representation,6,h-l
Residential Homes,Condos,8,h-h
Residential Homes,Foreclosures,8,h-h
Residential Homes,Listings,8,h-h
Residential Homes,Luxury,6,h-l
Residential Homes,New Home Sales,8,h-h
Residential Homes,Referrals,8,h-h
Residential Homes,Relocation,8,h-h
Residential Homes,REO,6,h-l
Short Sales,Residential Homes,8,h-h
Single Family Homes,Residential Homes,6,l-h
Condos,Buyer Representation,6,h-l
Foreclosures,Buyer Representation,6,h-l
Listings,Buyer Representation,6,h-l
Luxury,Buyer Representation,6,l-l
New Home Sales,Buyer Representation,6,h-l
Referrals,Buyer Representation,6,h-l
Relocation,Buyer Representation,6,h-l
REO,Buyer Representation,6,l-l
Short Sales,Buyer Representation,6,h-l
Single Family Homes,Buyer Representation,6,l-l
Foreclosures,Condos,8,h-h
Listings,Condos,8,h-h
Luxury,Condos,6,l-h
New Home Sales,Condos,8,h-h
Referrals,Condos,8,h-h
Relocation,Condos,8,h-h
REO,Condos,6,l-h
Short Sales,Condos,8,h-h
Single Family Homes,Condos,6,l-h
Listings,Foreclosures,8,h-h
Luxury,Foreclosures,6,l-h
New Home Sales,Foreclosures,8,h-h
Referrals,Foreclosures,8,h-h
Relocation,Foreclosures,8,h-h
REO,Foreclosures,6,l-h
Short Sales,Foreclosures,10,h-h
Single Family Homes,Foreclosures,6,l-h
Luxury,Listings,6,l-h
New Home Sales,Listings,8,h-h
Referrals,Listings,8,h-h
Relocation,Listings,8,h-h
REO,Listings,6,l-h
Short Sales,Listings,8,h-h
Single Family Homes,Listings,6,l-h
New Home Sales,Luxury,6,h-l
Referrals,Luxury,6,h-l
Relocation,Luxury,6,h-l
REO,Luxury,6,l-l
Short Sales,Luxury,6,h-l
Single Family Homes,Luxury,6,l-l
Referrals,New Home Sales,8,h-h
Relocation,New Home Sales,8,h-h
REO,New Home Sales,6,l-h
Short Sales,New Home Sales,8,h-h
Single Family Homes,New Home Sales,6,l-h
Relocation,Referrals,8,h-h
Referrals,REO,6,h-l
Short Sales,Referrals,8,h-h
Single Family Homes,Referrals,6,l-h
Relocation,REO,6,h-l
Short Sales,Relocation,8,h-h
Single Family Homes,Relocation,6,l-h
Short Sales,REO,6,h-l
Single Family Homes,REO,6,l-l
Single Family Homes,Short Sales,6,l-h
Java,Agile Methodologies,352,h-h
Software Development,Agile Methodologies,352,h-h
Agile Methodologies,.NET,172,h-h
C#,Agile Methodologies,238,h-h
C++,Agile Methodologies,230,h-h
HTML,Agile Methodologies,218,h-h
JavaScript,Agile Methodologies,302,h-h
jQuery,Agile Methodologies,204,h-h
Linux,Agile Methodologies,226,h-h
Microsoft SQL Server,Agile Methodologies,202,h-h
MySQL,Agile Methodologies,234,h-h
SQL,Agile Methodologies,352,h-h
Web Services,Agile Methodologies,268,h-h
XML,Agile Methodologies,312,h-h
C,Agile Methodologies,138,h-h
CSS,Agile Methodologies,152,h-h
PHP,Agile Methodologies,172,h-h
Python,Agile Methodologies,140,h-h
Software Engineering,Agile Methodologies,144,h-h
Software Development,Java,558,h-h
Java,.NET,172,h-h
Java,C#,270,h-h
Java,C++,422,h-h
Java,HTML,264,h-h
JavaScript,Java,404,h-h
jQuery,Java,224,h-h
Linux,Java,452,h-h
Microsoft SQL Server,Java,256,h-h
MySQL,Java,310,h-h
SQL,Java,470,h-h
Web Services,Java,264,h-h
XML,Java,360,h-h
Java,C,318,h-h
Java,CSS,164,h-h
PHP,Java,210,h-h
Python,Java,272,h-h
Software Engineering,Java,202,h-h
Software Development,.NET,170,h-h
Software Development,C#,266,h-h
Software Development,C++,368,h-h
Software Development,HTML,260,h-h
Software Development,JavaScript,374,h-h
jQuery,Software Development,226,h-h
Software Development,MySQL,290,h-h
Web Services,Software Development,258,h-h
XML,Software Development,334,h-h
Software Development,C,272,h-h
Software Development,CSS,164,h-h
Software Development,PHP,202,h-h
Software Development,Python,236,h-h
Software Engineering,Software Development,188,h-h
C#,.NET,164,h-h
C++,.NET,142,h-h
HTML,.NET,134,h-h
JavaScript,.NET,166,h-h
jQuery,.NET,128,h-h
Linux,.NET,100,h-h
Microsoft SQL Server,.NET,154,h-h
MySQL,.NET,130,h-h
SQL,.NET,172,h-h
Web Services,.NET,158,h-h
XML,.NET,166,h-h
C,.NET,82,h-h
CSS,.NET,108,h-h
PHP,.NET,104,h-h
Python,.NET,80,h-h
Software Engineering,.NET,88,h-h
C++,C#,238,h-h
HTML,C#,216,h-h
JavaScript,C#,250,h-h
jQuery,C#,204,h-h
Linux,C#,200,h-h
Microsoft SQL Server,C#,168,h-h
MySQL,C#,214,h-h
SQL,C#,258,h-h
Web Services,C#,222,h-h
XML,C#,252,h-h
C#,C,146,h-h
CSS,C#,158,h-h
PHP,C#,180,h-h
Python,C#,144,h-h
Software Engineering,C#,146,h-h
HTML,C++,200,h-h
JavaScript,C++,262,h-h
jQuery,C++,184,h-h
Linux,C++,328,h-h
Microsoft SQL Server,C++,146,h-h
MySQL,C++,204,h-h
SQL,C++,252,h-h
Web Services,C++,204,h-h
XML,C++,230,h-h
C++,C,334,h-h
CSS,C++,140,h-h
PHP,C++,166,h-h
Python,C++,286,h-h
Software Engineering,C++,198,h-h
JavaScript,HTML,264,h-h
jQuery,HTML,208,h-h
Linux,HTML,200,h-h
Microsoft SQL Server,HTML,180,h-h
MySQL,HTML,232,h-h
SQL,HTML,276,h-h
Web Services,HTML,204,h-h
XML,HTML,246,h-h
HTML,C,112,h-h
HTML,CSS,166,h-h
PHP,HTML,184,h-h
Python,HTML,110,h-h
Software Engineering,HTML,104,h-h
jQuery,JavaScript,226,h-h
Linux,JavaScript,278,h-h
Microsoft SQL Server,JavaScript,232,h-h
MySQL,JavaScript,294,h-h
SQL,JavaScript,390,h-h
Web Services,JavaScript,260,h-h
XML,JavaScript,346,h-h
JavaScript,C,168,h-h
JavaScript,CSS,166,h-h
PHP,JavaScript,190,h-h
Python,JavaScript,138,h-h
Software Engineering,JavaScript,142,h-h
jQuery,Linux,166,h-h
jQuery,Microsoft SQL Server,138,h-h
jQuery,MySQL,214,h-h
jQuery,SQL,226,h-h
jQuery,Web Services,210,h-h
jQuery,XML,224,h-h
jQuery,C,100,h-h
jQuery,CSS,160,h-h
jQuery,PHP,184,h-h
jQuery,Python,106,h-h
jQuery,Software Engineering,100,h-h
MySQL,Linux,256,h-h
Web Services,Linux,166,h-h
XML,Linux,258,h-h
Linux,C,266,h-h
Linux,CSS,122,h-h
PHP,Linux,170,h-h
Python,Linux,236,h-h
Software Engineering,Linux,160,h-h
MySQL,Microsoft SQL Server,190,h-h
Web Services,Microsoft SQL Server,156,h-h
XML,Microsoft SQL Server,206,h-h
Microsoft SQL Server,C,80,h-h
Microsoft SQL Server,CSS,116,h-h
PHP,Microsoft SQL Server,132,h-h
Python,Microsoft SQL Server,80,h-h
Software Engineering,Microsoft SQL Server,86,h-h
SQL,MySQL,314,h-h
Web Services,MySQL,218,h-h
XML,MySQL,272,h-h
MySQL,C,116,h-h
MySQL,CSS,162,h-h
PHP,MySQL,208,h-h
Python,MySQL,120,h-h
Software Engineering,MySQL,112,h-h
Web Services,SQL,266,h-h
XML,SQL,368,h-h
SQL,C,160,h-h
SQL,CSS,164,h-h
SQL,PHP,206,h-h
SQL,Python,144,h-h
Software Engineering,SQL,148,h-h
XML,Web Services,260,h-h
Web Services,C,116,h-h
Web Services,CSS,144,h-h
Web Services,PHP,168,h-h
Web Services,Python,118,h-h
Web Services,Software Engineering,124,h-h
XML,C,142,h-h
XML,CSS,164,h-h
XML,PHP,184,h-h
XML,Python,138,h-h
XML,Software Engineering,138,h-h
CSS,C,94,h-h
PHP,C,94,h-h
Python,C,264,h-h
Software Engineering,C,190,h-h
PHP,CSS,158,h-h
Python,CSS,100,h-h
Software Engineering,CSS,94,h-h
Python,PHP,102,h-h
Software Engineering,PHP,94,h-h
Software Engineering,Python,178,h-h
Management,Leadership,1826,h-h
Project Management,Leadership,1212,h-h
Leadership,Business Development,908,h-h
Leadership,Business Strategy,744,h-h
Marketing,Leadership,1028,h-h
Marketing Strategy,Leadership,714,h-h
Start-ups,Leadership,164,h-h
Strategic Planning,Leadership,1080,h-h
Strategy,Leadership,978,h-h
Leadership,Competitive Analysis,50,h-h
Product Development,Leadership,140,h-h
Product Marketing,Leadership,80,h-h
Sales,Leadership,944,h-h
Leadership,Cross-functional Team Leadership,158,h-h
New Business Development,Leadership,514,h-h
Product Management,Leadership,150,h-h
Strategic Partnerships,Leadership,86,h-h
Leadership,E-commerce,32,h-h
Mobile Devices,Leadership,30,h-h
Management,Business Development,992,h-h
Management,Business Strategy,790,h-h
Marketing,Management,1170,h-h
Marketing Strategy,Management,796,h-h
Start-ups,Management,168,h-h
Strategic Planning,Management,1132,h-h
Strategy,Management,1060,h-h
Management,Competitive Analysis,56,h-h
Product Development,Management,308,h-h
Product Marketing,Management,114,h-h
Sales,Management,1038,h-h
Management,Cross-functional Team Leadership,220,h-h
New Business Development,Management,572,h-h
Product Management,Management,188,h-h
Strategic Partnerships,Management,88,h-h
Management,E-commerce,42,h-h
Mobile Devices,Management,30,h-h
Project Management,Business Development,668,h-h
Project Management,Business Strategy,692,h-h
Project Management,Marketing,622,h-h
Project Management,Marketing Strategy,390,h-h
Start-ups,Project Management,146,h-h
Strategic Planning,Project Management,866,h-h
Strategy,Project Management,728,h-h
Project Management,Competitive Analysis,30,h-h
Project Management,Product Development,318,h-h
Project Management,Product Marketing,56,h-h
Sales,Project Management,548,h-h
Project Management,Cross-functional Team Leadership,182,h-h
Project Management,New Business Development,264,h-h
Project Management,Product Management,168,h-h
Strategic Partnerships,Project Management,70,h-h
Project Management,E-commerce,34,h-h
Project Management,Mobile Devices,26,h-h
Business Strategy,Business Development,626,h-h
Marketing,Business Development,728,h-h
Marketing Strategy,Business Development,652,h-h
Start-ups,Business Development,162,h-h
Strategic Planning,Business Development,766,h-h
Strategy,Business Development,836,h-h
Competitive Analysis,Business Development,50,h-h
Product Development,Business Development,120,h-h
Product Marketing,Business Development,106,h-h
Sales,Business Development,670,h-h
Cross-functional Team Leadership,Business Development,120,h-h
New Business Development,Business Development,516,h-h
Product Management,Business Development,162,h-h
Strategic Partnerships,Business Development,88,h-h
E-commerce,Business Development,38,h-h
Mobile Devices,Business Development,30,h-h
Marketing,Business Strategy,470,h-h
Marketing Strategy,Business Strategy,412,h-h
Start-ups,Business Strategy,156,h-h
Strategic Planning,Business Strategy,656,h-h
Strategy,Business Strategy,662,h-h
Competitive Analysis,Business Strategy,50,h-h
Product Development,Business Strategy,104,h-h
Product Marketing,Business Strategy,68,h-h
Sales,Business Strategy,376,h-h
Cross-functional Team Leadership,Business Strategy,116,h-h
New Business Development,Business Strategy,276,h-h
Product Management,Business Strategy,134,h-h
Strategic Partnerships,Business Strategy,82,h-h
E-commerce,Business Strategy,30,h-h
Mobile Devices,Business Strategy,28,h-h
Marketing Strategy,Marketing,804,h-h
Start-ups,Marketing,144,h-h
Strategic Planning,Marketing,718,h-h
Strategy,Marketing,670,h-h
Marketing,Competitive Analysis,48,h-h
Product Development,Marketing,110,h-h
Product Marketing,Marketing,86,h-h
Sales,Marketing,906,h-h
Marketing,Cross-functional Team Leadership,92,h-h
New Business Development,Marketing,524,h-h
Product Management,Marketing,114,h-h
Strategic Partnerships,Marketing,86,h-h
Marketing,E-commerce,44,h-h
Mobile Devices,Marketing,28,h-h
Start-ups,Marketing Strategy,140,h-h
Strategic Planning,Marketing Strategy,556,h-h
Strategy,Marketing Strategy,614,h-h
Marketing Strategy,Competitive Analysis,58,h-h
Product Development,Marketing Strategy,100,h-h
Product Marketing,Marketing Strategy,82,h-h
Sales,Marketing Strategy,664,h-h
Marketing Strategy,Cross-functional Team Leadership,90,h-h
New Business Development,Marketing Strategy,506,h-h
Product Management,Marketing Strategy,116,h-h
Strategic Partnerships,Marketing Strategy,82,h-h
Marketing Strategy,E-commerce,40,h-h
Mobile Devices,Marketing Strategy,28,h-h
Strategic Planning,Start-ups,156,h-h
Strategy,Start-ups,166,h-h
Start-ups,Competitive Analysis,32,h-h
Start-ups,Product Development,54,h-h
Start-ups,Product Marketing,38,h-h
Start-ups,Sales,100,h-h
Start-ups,Cross-functional Team Leadership,56,h-h
Start-ups,New Business Development,106,h-h
Start-ups,Product Management,98,h-h
Strategic Partnerships,Start-ups,86,h-h
Start-ups,E-commerce,32,h-h
Start-ups,Mobile Devices,30,h-h
Strategy,Strategic Planning,776,h-h
Strategic Planning,Competitive Analysis,42,h-h
Strategic Planning,Product Development,136,h-h
Strategic Planning,Product Marketing,96,h-h
Strategic Planning,Sales,612,h-h
Strategic Planning,Cross-functional Team Leadership,142,h-h
Strategic Planning,New Business Development,380,h-h
Strategic Planning,Product Management,146,h-h
Strategic Planning,Strategic Partnerships,82,h-h
Strategic Planning,E-commerce,30,h-h
Strategic Planning,Mobile Devices,28,h-h
Strategy,Competitive Analysis,60,h-h
Strategy,Product Development,112,h-h
Strategy,Product Marketing,88,h-h
Strategy,Sales,562,h-h
Strategy,Cross-functional Team Leadership,136,h-h
Strategy,New Business Development,448,h-h
Strategy,Product Management,146,h-h
Strategy,Strategic Partnerships,86,h-h
Strategy,E-commerce,40,h-h
Strategy,Mobile Devices,30,h-h
Product Development,Competitive Analysis,42,h-h
Product Marketing,Competitive Analysis,46,h-h
Sales,Competitive Analysis,36,h-h
Cross-functional Team Leadership,Competitive Analysis,44,h-h
New Business Development,Competitive Analysis,40,h-h
Product Management,Competitive Analysis,40,h-h
Strategic Partnerships,Competitive Analysis,32,h-h
E-commerce,Competitive Analysis,26,h-h
Mobile Devices,Competitive Analysis,28,h-h
Product Marketing,Product Development,70,h-h
Sales,Product Development,126,h-h
Product Development,Cross-functional Team Leadership,124,h-h
Product Development,New Business Development,104,h-h
Product Management,Product Development,112,h-h
Strategic Partnerships,Product Development,48,h-h
Product Development,E-commerce,30,h-h
Product Development,Mobile Devices,28,h-h
Sales,Product Marketing,94,h-h
Product Marketing,Cross-functional Team Leadership,58,h-h
Product Marketing,New Business Development,74,h-h
Product Marketing,Product Management,72,h-h
Strategic Partnerships,Product Marketing,32,h-h
Product Marketing,E-commerce,30,h-h
Product Marketing,Mobile Devices,28,h-h
Sales,Cross-functional Team Leadership,86,h-h
Sales,New Business Development,536,h-h
Sales,Product Management,120,h-h
Strategic Partnerships,Sales,78,h-h
Sales,E-commerce,30,h-h
Sales,Mobile Devices,26,h-h
New Business Development,Cross-functional Team Leadership,84,h-h
Product Management,Cross-functional Team Leadership,110,h-h
Strategic Partnerships,Cross-functional Team Leadership,38,h-h
E-commerce,Cross-functional Team Leadership,30,h-h
Mobile Devices,Cross-functional Team Leadership,28,h-h
Product Management,New Business Development,118,h-h
Strategic Partnerships,New Business Development,78,h-h
New Business Development,E-commerce,28,h-h
New Business Development,Mobile Devices,24,h-h
Strategic Partnerships,Product Management,82,h-h
Product Management,E-commerce,32,h-h
Product Management,Mobile Devices,30,h-h
Strategic Partnerships,E-commerce,28,h-h
Strategic Partnerships,Mobile Devices,30,h-h
Mobile Devices,E-commerce,28,h-h
Social Media,Advertising,262,h-h
Social Media,Concept Development,10,h-h
Social Media,Creative Direction,22,h-h
Social Media,Marketing,752,h-h
Social Media,Marketing Strategy,442,h-h
Strategy,Social Media,368,h-h
Social Media,Brand Development,18,h-h
Social Media,Brand Management,10,h-h
Social Media,Customer Insight,4,h-h
Social Media,Digital Marketing,218,h-h
Social Media,Integrated Marketing,64,h-h
Social Media,Marketing Communications,260,h-h
Social Media,Public Relations,286,h-h
Social Media Marketing,Social Media,334,h-h
Social Media,Copywriting,56,h-h
Social Media,Digital Media,66,h-h
Social Media,Creative Strategy,18,h-h
Social Media,Digital Strategy,76,h-h
Social Media,Brand Architecture,4,h-h
Concept Development,Advertising,34,h-h
Creative Direction,Advertising,66,h-h
Marketing,Advertising,276,h-h
Marketing Strategy,Advertising,238,h-h
Strategy,Advertising,196,h-h
Brand Development,Advertising,40,h-h
Brand Management,Advertising,18,h-h
Customer Insight,Advertising,10,h-h
Digital Marketing,Advertising,230,h-h
Integrated Marketing,Advertising,78,h-h
Marketing Communications,Advertising,234,h-h
Public Relations,Advertising,170,h-h
Social Media Marketing,Advertising,252,h-h
Copywriting,Advertising,52,h-h
Digital Media,Advertising,64,h-h
Creative Strategy,Advertising,26,h-h
Digital Strategy,Advertising,78,h-h
Brand Architecture,Advertising,4,h-h
Creative Direction,Concept Development,38,h-h
Marketing,Concept Development,6,h-h
Marketing Strategy,Concept Development,4,h-h
Strategy,Concept Development,4,h-h
Concept Development,Brand Development,16,h-h
Concept Development,Brand Management,4,h-h
Customer Insight,Concept Development,4,h-h
Digital Marketing,Concept Development,10,h-h
Integrated Marketing,Concept Development,10,h-h
Marketing Communications,Concept Development,4,h-h
Public Relations,Concept Development,4,h-h
Social Media Marketing,Concept Development,6,h-h
Copywriting,Concept Development,10,h-h
Digital Media,Concept Development,6,h-h
Creative Strategy,Concept Development,14,h-h
Digital Strategy,Concept Development,10,h-h
